기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도
전방,000950,B이하,C,B이하,B이하,2018
자화전자,033240,B이하,C,B+,B이하,2018
잇츠한불,226320,B이하,B,B이하,B이하,2018
일정실업,008500,B이하,C,B이하,B이하,2018
이수페타시스,007660,B이하,C,A,B+,2018
이수화학,005950,B이하,C,B+,B+,2018
이스타코,015020,B이하,C,B이하,B이하,2018
엔피씨,,B이하,B,B이하,B이하,2018
인천도시가스,034590,B이하,B,B이하,B이하,2018
일양약품,007570,B이하,B,B이하,B이하,2018
일신석재,007110,B이하,C,B이하,B이하,2018
일신방직,003200,B이하,B,B이하,B이하,2018
일성신약,003120,B이하,B,B이하,B이하,2018
일성건설,013360,B이하,B,B이하,B이하,2018
일동홀딩스,000230,B이하,B,B+,B이하,2018
일동제약,249420,B이하,C,B+,B+,2018
인팩,023810,B이하,B,B이하,B이하,2018
인터지스,129260,B+,B+,B+,B이하,2018
인지컨트롤스,023800,B이하,D,B이하,B이하,2018
영보화학,014440,B이하,C,B이하,B이하,2018
인스코비,006490,B이하,C,B이하,B+,2018
인디에프,014990,B이하,B,B이하,B이하,2018
이화산업,000760,B이하,C,B이하,B이하,2018
이월드,084680,B이하,C,B이하,B이하,2018
이연제약,102460,B이하,B,B이하,B이하,2018
이아이디,093230,B이하,C,B이하,B이하,2018
일진홀딩스,015860,B이하,B,B이하,B이하,2018
이마트,139480,B+,B+,B+,B+,2018
엔케이,085310,B이하,C,B이하,B이하,2018
유안타증권,003470,B이하,B+ 이하,B이하,B이하,2018
이건산업,008250,B이하,C,B이하,B이하,2018
웅진에너지,,B이하,B,B이하,B+,2018
율촌화학,008730,B이하,B,B이하,B이하,2018
유화증권,003460,B이하,B+ 이하,B이하,B이하,2018
유한양행,000100,B+,B,B+,B+,2018
유진증권,,B이하,B+ 이하,B이하,B이하,2018
유유제약,000220,B이하,B,B이하,B이하,2018
유엔젤,072130,B이하,C,B이하,B이하,2018
유양디앤유,,B이하,B,B이하,B이하,2018
유수홀딩스,000700,B+,B+,B+,B이하,2018
이노션,214320,B이하,B+,B+,B이하,2018
유성기업,002920,B이하,B,B이하,B이하,2018
유니퀘스트,077500,B이하,B+,B이하,B이하,2018
유니켐,011330,B이하,B+,B이하,B이하,2018
유니온머티리얼,047400,B이하,C,B이하,B이하,2018
유니온,000910,B이하,C,B이하,B이하,2018
유니드,014830,B이하,C,B이하,B이하,2018
유나이티드,,B이하,B,B+,B이하,2018
웰바이오텍,010600,B이하,C,B이하,B이하,2018
쌍용자동차,,B+,B+,B+,B이하,2018
웅진씽크빅,095720,B이하,C,B이하,B이하,2018
우진플라임,049800,B이하,B,B이하,B이하,2018
영원무역,111770,B이하,B,B이하,B이하,2018
영원무역홀딩스,009970,B이하,C,B이하,B이하,2018
이구산업,025820,B+,B+,B이하,B+,2018
웅진,016880,B이하,B,B이하,B이하,2018
우진,105840,B이하,B,B이하,B이하,2018
우신시스템,017370,B이하,C,B이하,B이하,2018
우성사료,,B이하,C,B이하,B이하,2018
우리종금,010050,B이하,B+,B이하,B이하,2018
우리은행,,B+,B+ 이하,B+,B이하,2018
우리들휴브레인,,B이하,C,B이하,B이하,2018
우리들제약,,B이하,C,B이하,B이하,2018
용평리조트,070960,B이하,B,B이하,B이하,2018
오리온홀딩스,001800,B이하,D,B이하,B이하,2018
오리엔트바이오,002630,B이하,C,B이하,B이하,2018
오뚜기,007310,B+,B,A,B+,2018
예스코홀딩스,015360,B이하,B,B+,B이하,2018
영흥철강,,B이하,B,B이하,B+,2018
영화금속,012280,B이하,B,B이하,B이하,2018
영풍제지,006740,B이하,C,B이하,B이하,2018
영풍,000670,B이하,B,B이하,B이하,2018
영진약품,003520,B이하,B,B이하,B이하,2018
엔케이물산,,B이하,D,B이하,B이하,2018
윌비스,008600,B이하,B,B이하,B이하,2018
세진중공업,075580,B이하,B,B이하,B이하,2018
아이마켓코리아,122900,B이하,B+,B이하,B이하,2018
엔에스쇼핑,,B이하,B+,B+,B이하,2018
엔씨소프트,036570,B이하,B+,B이하,B이하,2018
에이프로젠제약,003060,B이하,D,B이하,B이하,2018
에이프로젠 KIC,,B이하,C,B이하,B이하,2018
에이엔피,015260,B이하,C,B이하,B이하,2018
에이블씨엔씨,078520,B이하,D,B이하,B이하,2018
에쓰씨엔지니어링,023960,B이하,C,B이하,B이하,2018
에스제이엠홀딩스,,B이하,B,B이하,B이하,2018
에스제이엠,,B이하,B,B이하,B이하,2018
에스원,012750,B이하,C,B이하,B이하,2018
에스엘,005850,B이하,C,B+,B이하,2018
에넥스,011090,B이하,C,B+,B이하,2018
애경유화,,B이하,C,B이하,B+,2018
알보젠코리아,,B이하,B,B이하,B이하,2018
알루코,001780,B이하,C,B이하,B이하,2018
아티스,,B이하,B,B이하,B이하,2018
아주캐피탈,,B이하,B+ 이하,B이하,B이하,2018
아이엔지생명,,,B+ 이하,,,2018
아이에이치큐,,B이하,B,B이하,B이하,2018
아이에스동서,010780,B이하,C,B이하,B이하,2018
아시아나항공,020560,B이하,B,B이하,B+,2018
신원,009270,B이하,C,B이하,B이하,2018
아세아제지,002310,B이하,C,B이하,B이하,2018
세하,027970,B이하,B,B이하,B+,2018
아모레퍼시픽그룹,,A,B+,A+,A,2018
아모레퍼시픽,090430,B+,B,A+,A,2018
아남전자,008700,B이하,C,B이하,B이하,2018
씨티은행,,,A,,,2018
씨에스윈드,112610,B이하,B+,B이하,B이하,2018
씨아이테크,004920,B이하,C,B이하,B이하,2018
써니전자,004770,B이하,B,B이하,B이하,2018
쌍용양회공업,,A,B+,A,A,2018
신일산업,,B이하,B,B이하,B이하,2018
쌍방울,102280,B이하,C,B이하,B이하,2018
신흥,004080,B이하,B+,B이하,B이하,2018
신화실업,,B이하,C,B이하,B이하,2018
신한카드,,,A,,,2018
신한지주,055550,A+,A+,A,A+,2018
신한은행,,,B+ 이하,,,2018
신한금융투자,,,B+ 이하,,,2018
신한,,B이하,D,B이하,B이하,2018
신풍제지,002870,B이하,B,B이하,B+,2018
신풍제약,019170,B이하,B,B이하,B이하,2018
아세아,002030,B이하,C,B이하,B이하,2018
조흥,002600,B이하,B,B이하,B이하,2018
세원정공,021820,B이하,B,B이하,B이하,2018
세종공업,033530,B이하,C,B이하,B이하,2018
신영와코루,005800,B이하,D,B이하,B이하,2018
신송홀딩스,006880,B이하,B,B이하,B이하,2018
신세계푸드,031440,B이하,C,B+,B이하,2018
신세계인터내셔날,031430,B+,B+,B+,B이하,2018
신세계건설,034300,B+,B+,B+,B이하,2018
신세계I&C,,B이하,B,A,B이하,2018
신세계,004170,B+,B,A+,B+,2018
신성통상,005390,B이하,C,B이하,B이하,2018
신성이엔지,011930,B이하,C,B이하,B이하,2018
신라교역,004970,B이하,C,B이하,B이하,2018
신도리코,029530,B이하,B+,B이하,B이하,2018
신대양제지,016590,B이하,D,B이하,B이하,2018
시디즈,134790,B이하,B,B이하,B이하,2018
수산중공업,017550,B이하,B,B이하,B이하,2018
송원산업,004430,B이하,D,B이하,B+,2018
셀트리온,068270,B이하,B,B이하,B이하,2018
성지건설,,B이하,D,B이하,B이하,2018
세화아이엠씨,,B이하,D,B이하,B이하,2018
세이브존I&C,067830,B이하,C,B이하,B이하,2018
아세아시멘트,183190,B이하,C,B+,A,2018
세원셀론텍,,B이하,C,B이하,B이하,2018
성안,011300,B이하,C,B이하,B이하,2018
서울식품공업,,B이하,B,B이하,B이하,2018
세아홀딩스,058650,B이하,C,B이하,B이하,2018
세아특수강,019440,B이하,B,B이하,B+,2018
세우글로벌,013000,B이하,C,B이하,B이하,2018
세아제강,306200,B이하,C,B이하,B+,2018
세아베스틸,,B이하,C,B+,B+,2018
세방,004360,B이하,B+,B이하,B이하,2018
세기상사,002420,B이하,B,B이하,B이하,2018
성창기업지주,000180,B이하,C,B이하,B이하,2018
세방전지,004490,B이하,C,B이하,B+,2018
신영증권,001720,B이하,B+ 이하,B이하,B이하,2018
선진,136490,B이하,B+,B이하,B이하,2018
서원,021050,B이하,B,B이하,B+,2018
성신양회,004980,B이하,B,B이하,B+,2018
선도전기,007610,B이하,B,B이하,B이하,2018
서흥,008490,B이하,B,B이하,B이하,2018
선창산업,,B이하,C,B이하,B이하,2018
성문전자,014910,B이하,C,B이하,B이하,2018
성보화학,003080,B이하,B,B이하,B이하,2018
한미약품,128940,B이하,C,B+,B이하,2017
한솔홀딩스,004150,B이하,B,B이하,B이하,2017
CJ씨푸드,011150,B이하,B,B이하,B이하,2017
한익스프레스,014130,B이하,B,B이하,B이하,2017
한올바이오파마,009420,B이하,B+,B이하,B이하,2017
한온시스템,018880,B이하,B,B이하,B+,2017
한양증권,001750,B이하,B+,B이하,B이하,2017
한신기계공업,,B이하,B,B이하,B이하,2017
한솔홈데코,025750,B+,B,B+,B+,2017
한성기업,003680,B이하,C,B이하,B이하,2017
한솔피엔에스,,B이하,B,B이하,B이하,2017
한솔테크닉스,004710,B+,B+,B이하,B+,2017
한솔케미칼,014680,B+,B+,B이하,B+,2017
한솔제지,213500,A,B+,A,A,2017
한솔로지스틱스,009180,B이하,B,B이하,B이하,2017
한세예스24홀딩스,016450,B이하,C,B이하,B이하,2017
한세엠케이,069640,B이하,B,B이하,B이하,2017
한세실업,105630,B이하,B+,B이하,B이하,2017
한미사이언스,008930,B이하,D,B이하,B이하,2017
한국전력공사,,B+,B+,A,B+,2017
한국콜마홀딩스,024720,B이하,C,B이하,B이하,2017
한미글로벌,053690,B이하,B,B이하,B이하,2017
한국프랜지공업,,B이하,B,B이하,B+,2017
이구산업,025820,B이하,B,B이하,B+,2017
한미반도체,042700,B이하,B,B이하,B이하,2017
한라홀딩스,,B이하,B,B이하,B이하,2017
한라,,B이하,B,B이하,B이하,2017
한독,002390,B+,B+,B이하,B+,2017
한농화성,011500,B이하,B,B이하,B이하,2017
한국화장품제조,003350,B이하,B,B이하,B이하,2017
한국화장품,123690,B이하,B,B이하,B이하,2017
한국항공우주,047810,B이하,B,B이하,B+,2017
한국토지신탁,034830,B이하,B+,B+,B이하,2017
한국제지,,B+,B,B+,B+,2017
한국타이어월드와이드,,B+,B+,A,B이하,2017
한국타이어,,B+,B+,B이하,A,2017
한샘,009240,B이하,C,B이하,B이하,2017
한국콜마,161890,B이하,B,B이하,B이하,2017
한국카본,017960,B이하,C,B이하,B이하,2017
한국철강,104700,B+,B,B+,B+,2017
한국주철관공업,,B이하,B,B이하,B이하,2017
한국주강,025890,B이하,C,B이하,B이하,2017
한국종합기술,023350,B이하,B+,B이하,B이하,2017
한섬,020000,B이하,B,B이하,B이하,2017
팜스코,036580,B이하,B+,B이하,B이하,2017
한국전자홀딩스,006200,B이하,C,B이하,B이하,2017
포스코대우,,B+,B+,A,B이하,2017
한국수출포장공업,,B이하,B,B이하,B+,2017
한국석유공업,,B이하,B,B이하,B이하,2017
한국단자공업,,B이하,B+,B이하,B이하,2017
한국내화,010040,B이하,C,B이하,B이하,2017
한국금융지주,071050,B이하,A,B이하,B이하,2017
한국공항,005430,B이하,C,B이하,B이하,2017
한국가스공사,036460,B+,B+,B+,A,2017
하이트진로홀딩스,000140,B이하,B+,B이하,B이하,2017
하이트진로,000080,B+,B,B+,B+,2017
하이트론씨스템즈,,B이하,B,B이하,B이하,2017
하이스틸,071090,B이하,B,B이하,B이하,2017
하나투어,039130,B이하,B+,B이하,B이하,2017
하나금융지주,086790,A,A,A,B+,2017
필룩스,,B이하,C,B+,B이하,2017
풍산홀딩스,005810,B이하,B+,B이하,B이하,2017
풍산,103140,B+,B+,B이하,B+,2017
태경산업,015890,B이하,C,B이하,B이하,2017
풀무원,017810,A+,A+,A,A,2017
폴루스바이오팜,,B이하,C,B이하,B이하,2017
한국쉘석유,002960,B이하,B+,B이하,B이하,2017
한국유리공업,,B이하,C,B이하,B+,2017
한국자산신탁,123890,B이하,B+,B이하,B이하,2017
포스코강판,,B+,B+,A,B+,2017
태경화학,,B이하,C,B이하,B이하,2017
포스코,,A,A,A,A,2017
평화산업,090080,B이하,B,B이하,B+,2017
페이퍼코리아,001020,B이하,C,B이하,B이하,2017
퍼시스,016800,B이하,B,B이하,B이하,2017
퍼스텍,010820,B이하,B,B이하,B이하,2017
팬오션,028670,B이하,B+,B이하,B이하,2017
파미셀,005690,B이하,B,B이하,B이하,2017
팀스,,B이하,B,B이하,B이하,2017
티웨이홀딩스,004870,B이하,C,B이하,B이하,2017
티에이치엔,019180,B이하,C,B이하,B이하,2017
티비에이치글로벌,,B이하,B,B이하,B이하,2017
토니모리,214420,B이하,B,B이하,B이하,2017
텔코웨어,078000,B이하,B,B이하,B이하,2017
태평양물산,007980,B이하,B+,B+,B이하,2017
태원물산,001420,B이하,B,B이하,B이하,2017
태영건설,009410,B이하,B+,B이하,B이하,2017
태광산업,003240,B이하,C,B이하,B이하,2017
평화홀딩스,010770,B이하,B+,B이하,B이하,2017
태림포장,011280,B이하,C,B이하,B이하,2017
일양약품,007570,B이하,B,B이하,B이하,2017
키움증권,039490,B+,A,B이하,B이하,2017
케이씨씨,,B+,B,A,A,2017
종근당,185750,B이하,B+,B+,B이하,2017
케이티스,,B이하,B+,B이하,B이하,2017
크라운해태홀딩스,005740,B이하,B,B+,B이하,2017
쿠쿠홀딩스,192400,B이하,B+,B이하,B이하,2017
콤텍시스템,031820,B이하,B,B이하,B이하,2017
코웨이,021240,B+,B,A+,A,2017
코오롱플라스틱,138490,B+,B+,B+,B+,2017
코오롱인더,120110,B이하,C,B+,B+,2017
코오롱머티리얼,,B이하,B+,B이하,B이하,2017
코오롱글로벌,003070,B이하,B+,B이하,B이하,2017
코오롱,002020,B이하,B,B+,B이하,2017
코아스,071950,B이하,C,B이하,B이하,2017
코스모화학,005420,B이하,B,B이하,B+,2017
코스모신소재,005070,B이하,C,B이하,B+,2017
코스맥스비티아이,044820,B이하,B,B이하,B이하,2017
코스맥스,192820,B이하,B,B이하,B이하,2017
코리안리,003690,B+,A,B이하,B이하,2017
코리아오토글라스,,B이하,B,B이하,B+,2017
코리아써키트,007810,B이하,B,B이하,B+,2017
케이티,,A,A,B+,A+,2017
종근당홀딩스,001630,B이하,B+,B이하,B이하,2017
케이티스카이라이프,,B이하,B+,B이하,B이하,2017
주연테크,044380,B이하,C,B이하,B이하,2017
케이씨티시,,B이하,C,B+,B이하,2017
한신공영,004960,B이하,C,B이하,B이하,2017
케이씨,029460,B+,B+,B+,B이하,2017
카프로,006380,B이하,B,B이하,B+,2017
체시스,033250,B이하,C,B이하,B이하,2017
청호컴넷,,B이하,B,B이하,B이하,2017
천일고속,000650,B이하,B+,B이하,B이하,2017
참엔지니어링,009310,B이하,B,B이하,B이하,2017
진흥기업,002780,B+,B,B+,B+,2017
진원생명과학,011000,B이하,B,B이하,B이하,2017
진양화학,051630,B이하,B,B이하,B이하,2017
진양홀딩스,100250,B이하,B,B이하,B이하,2017
진양폴리우레탄,,B이하,C,B이하,B이하,2017
진양산업,003780,B이하,B,B이하,B이하,2017
진도,088790,B이하,B,B이하,B이하,2017
지투알,035000,B이하,B+,B이하,B이하,2017
지코,,B이하,C,B이하,B이하,2017
지역난방공사,071320,A,B+,A,A,2017
지엠비코리아,013870,B이하,B,B이하,B이하,2017
케이티앤지,,A,A,A+,B+,2017
종근당바이오,063160,B이하,B,B이하,B이하,2017
일진디스플,020760,B이하,C,B이하,B+,2017
일정실업,008500,B이하,C,B이하,B이하,2017
일진다이아,081000,B이하,C,B이하,B이하,2017
조선선재,120030,B이하,C,B이하,B이하,2017
조선내화,000480,B+,B,B+,B+,2017
조비,001550,B이하,B,B이하,B이하,2017
조광피혁,004700,B이하,B+,B이하,B이하,2017
조광페인트,004910,B이하,B,B이하,B이하,2017
제주항공,089590,B이하,B+,B이하,B이하,2017
제주은행,006220,B+,A,B+,B이하,2017
제일파마홀딩스,002620,B이하,B,B이하,B이하,2017
제일연마,001560,B이하,B+,B이하,B이하,2017
제일기획,030000,B이하,B,B이하,B이하,2017
제이준코스메틱,025620,B이하,D,B이하,B이하,2017
제이에스코퍼레이션,194370,B이하,B+,B이하,B이하,2017
전방,000950,B이하,B,B이하,B이하,2017
자화전자,033240,B이하,B,B이하,B이하,2017
잇츠한불,226320,B이하,B+,B이하,B이하,2017
일진홀딩스,015860,B이하,B,B이하,B이하,2017
일진전기,103590,B이하,B,B이하,B이하,2017
일진머티리얼즈,020150,B이하,B,B이하,B+,2017
조일알미늄,018470,B이하,B,B이하,B+,2017
일신석재,007110,B이하,B,B이하,B이하,2017
조흥,002600,B이하,B,B이하,B이하,2017
이마트,139480,B+,B+,A,B+,2017
키위미디어그룹,,B이하,C,B이하,B이하,2017
일신방직,003200,B이하,B+,B이하,B이하,2017
일성신약,003120,B이하,B,B이하,B이하,2017
일성건설,013360,B이하,B,B이하,B이하,2017
일동홀딩스,000230,B이하,B,B이하,B이하,2017
일동제약,249420,B이하,B,B이하,B이하,2017
인팩,023810,B이하,B,B이하,B이하,2017
인터지스,129260,B이하,B+,B이하,B이하,2017
인천도시가스,034590,B이하,B,B이하,B이하,2017
인지컨트롤스,023800,B이하,C,B이하,B이하,2017
인스코비,006490,B이하,C,B이하,B이하,2017
인디에프,014990,B이하,B,B이하,B이하,2017
이화산업,000760,B이하,C,B이하,B이하,2017
이월드,084680,B이하,C,B이하,B이하,2017
이연제약,102460,B이하,B+,B이하,B이하,2017
이아이디,093230,B이하,C,B이하,B이하,2017
이스타코,015020,B이하,D,B이하,B이하,2017
이수화학,005950,B+,B,B+,B+,2017
이수페타시스,007660,B이하,C,B+,B+,2017
이노션,214320,B이하,B,B이하,B이하,2017
DB금융투자,016610,B+,A,B이하,B이하,2017
이건산업,008250,B이하,B,B이하,B이하,2017
우진플라임,049800,B이하,B,B이하,B이하,2017
휠라코리아,,B이하,B,B이하,B이하,2017
유화증권,003460,B이하,B+,B이하,B이하,2017
유진증권,,B+,A,B이하,B이하,2017
유유제약,000220,B이하,B,B이하,B이하,2017
유한양행,000100,B이하,B,B이하,B+,2017
유양디앤유,,B이하,B,B이하,B이하,2017
유안타증권,003470,B+,A,B이하,B이하,2017
유수홀딩스,000700,B+,B+,B+,B이하,2017
유성기업,002920,B이하,B,B이하,B+,2017
유니퀘스트,077500,B이하,B+,B이하,B이하,2017
유니켐,011330,B+,B+,B이하,B이하,2017
유니온머티리얼,047400,B이하,B,B이하,B+,2017
유니온,000910,B이하,B,B이하,B이하,2017
유니드,014830,B이하,B,B이하,B이하,2017
유나이티드,,B이하,B,B이하,B이하,2017
윌비스,008600,B이하,B+,B이하,B이하,2017
원림,005820,B이하,B,B이하,B이하,2017
웅진에너지,,B+,B,B이하,A,2017
웅진씽크빅,095720,B이하,C,B이하,B이하,2017
웅진,016880,B이하,B,B이하,B이하,2017
우진,105840,B이하,B,B이하,B이하,2017
유엔젤,072130,B이하,B,B이하,B이하,2017
우신시스템,017370,B이하,C,B이하,B이하,2017
우리종금,010050,B이하,B+,B이하,B이하,2017
우리은행,,B+,A,B이하,B이하,2017
우리들휴브레인,,B이하,C,B이하,B이하,2017
우리들제약,,B이하,D,B이하,B이하,2017
용평리조트,070960,B이하,B,B이하,B이하,2017
와이비로드,,B이하,B,B이하,B이하,2017
오리온홀딩스,001800,B이하,C,B이하,B이하,2017
오리엔트바이오,002630,B이하,C,B이하,B이하,2017
예스코,,B+,A,B+,B이하,2017
엔케이,085310,B이하,C,B이하,B이하,2017
영흥철강,,B+,B+,B+,B+,2017
영화금속,012280,B이하,B,B이하,B이하,2017
영풍제지,006740,B이하,C,B이하,B이하,2017
영풍,000670,B이하,C,B이하,B+,2017
영진약품,003520,B이하,C,B+,B이하,2017
영원무역홀딩스,009970,B이하,B,B이하,B이하,2017
영원무역,111770,B이하,B,B이하,B이하,2017
영보화학,014440,B이하,C,B이하,B이하,2017
엔피씨,,B이하,B,B이하,B이하,2017
엔케이물산,,B이하,C,B이하,B이하,2017
엔에스쇼핑,,B이하,B+,B이하,B이하,2017
오뚜기,007310,B이하,D,B+,B이하,2017
에넥스,011090,B이하,C,B+,B이하,2017
아시아나항공,020560,B+,B,A,B+,2017
에이프로젠KIC,,B이하,C,B이하,B이하,2017
에이블씨엔씨,078520,B이하,B+,B이하,B이하,2017
에쓰씨엔지니어링,023960,B이하,B,B이하,B이하,2017
에스제이엠홀딩스,,B이하,B+,B이하,B이하,2017
에스제이엠,,B이하,B,B이하,B이하,2017
에스원,012750,B이하,C,B이하,B이하,2017
에스엘,005850,B이하,C,B+,B이하,2017
에이엔피,015260,B이하,C,B이하,B이하,2017
애경유화,,B이하,B,B이하,B+,2017
아주캐피탈,,B+,A,B이하,B이하,2017
알보젠코리아,,B이하,B,B이하,B이하,2017
아이에이치큐,,B이하,B,B이하,B이하,2017
아이콘트롤스,,B이하,B+,B이하,B이하,2017
아이에스동서,010780,B이하,B,B이하,B이하,2017
아이마켓코리아,122900,B이하,B+,B이하,B이하,2017
아티스,,B이하,B,B이하,B이하,2017
알루코,001780,B이하,B,B이하,B이하,2017
계룡건설산업,,B이하,C,B이하,B이하,2017
에이프로젠제약,003060,B이하,C,B이하,B이하,2017
휴니드테크놀러지스,,B이하,B,B이하,B이하,2017
쌍용자동차,,B+,B+,B이하,B+,2017
휴켐스,,B+,B,B+,B+,2017
아세아,002030,B이하,B,B이하,B이하,2017
아비스타,,B이하,B,B이하,B이하,2017
아모레퍼시픽그룹,,B이하,B,A,B이하,2017
아모레퍼시픽,090430,A,B+,A,A,2017
아남전자,008700,B이하,B,B이하,B이하,2017
씨에스윈드,112610,B+,B+,B이하,B이하,2017
씨아이테크,004920,B이하,D,B이하,B이하,2017
써니전자,004770,B이하,B,B+,B이하,2017
쌍용양회공업,,B+,B+,B이하,A,2017
아세아제지,002310,B이하,B,B이하,B이하,2017
쌍방울,102280,B이하,C,B이하,B이하,2017
신흥,004080,B이하,B+,B이하,B이하,2017
신화실업,,B이하,B,B이하,B이하,2017
흥아해운,003280,B이하,B,B이하,B이하,2017
흥국화재,000540,B+,A,B이하,B이하,2017
휴비스,079980,B+,B,A,B+,2017
휴스틸,005010,B이하,B,B이하,B이하,2017
엔씨소프트,036570,B이하,B,B이하,B이하,2017
아세아시멘트,183190,B이하,C,B이하,B+,2017
우성사료,,B이하,B,B이하,B이하,2017
후성,093370,B이하,C,B이하,B+,2017
현대위아,011210,B이하,B,B이하,B+,2017
한화케미칼,,B이하,C,B이하,B+,2017
황금에스티,032560,B이하,B,B이하,B이하,2017
환인제약,016580,B이하,B+,B이하,B이하,2017
화천기공,000850,B이하,B,B이하,B이하,2017
화천기계,010660,B이하,B,B이하,B이하,2017
화인베스틸,133820,B이하,B,B이하,B+,2017
화신,010690,B이하,D,B이하,B이하,2017
화승인더스트리,,B이하,B,B이하,B+,2017
화승엔터프라이즈,241590,B이하,B,B이하,B이하,2017
화승알앤에이,378850,B+,B+,B+,B+,2017
화성산업,002460,B이하,B+,B이하,B이하,2017
호텔신라,008770,B+,B+,B+,B이하,2017
혜인,003010,B이하,B,B이하,B이하,2017
형지엘리트,093240,B이하,C,B이하,B이하,2017
현대홈쇼핑,057050,B+,A,B이하,B이하,2017
현대해상,001450,A,A,A,B+,2017
현대코퍼레이션홀딩스,227840,B이하,B,B이하,B이하,2017
현대차투자증권,,B이하,A,B이하,B이하,2017
현대중공업,329180,B+,B+,B이하,A,2017
현대종합상사,,B이하,B,B이하,B이하,2017
현대제철,004020,B이하,B,B이하,B+,2017
현대자동차,,B+,B,B+,B+,2017
한화손해보험,000370,B+,A,B이하,B이하,2017
현대엘리베이터,,A,B+,A,A,2017
현대에이치씨엔,,B+,B+,B+,B이하,2017
현대약품,004310,B+,B+,B+,B이하,2017
현대시멘트,,B이하,C,B이하,B+,2017
현대상선,,B+,B+,B+,B이하,2017
현대산업개발,,B+,B+,B+,B이하,2017
현대비앤지스틸,004560,B이하,C,B+,B+,2017
현대백화점,069960,B+,B+,B+,B이하,2017
현대미포조선,010620,B+,B+,B이하,A,2017
현대모비스,012330,B이하,C,A,A,2017
현대리바트,079430,B+,B+,B+,B이하,2017
현대로템,064350,B+,B+,B+,B+,2017
현대글로비스,086280,B+,B+,B+,B+,2017
현대그린푸드,005440,B+,B+,B이하,B+,2017
현대건설,000720,B이하,D,B+,B+,2017
현대EP,,B이하,B,B이하,B+,2017
핸즈코퍼레이션,143210,B이하,B+,B이하,B+,2017
해태제과식품,101530,B이하,B,B이하,B이하,2017
해성디에스,195870,A,B+,A,A,2017
한화투자증권,003530,B+,A,B+,B이하,2017
한화테크윈,,B+,B+,B+,A,2017
효성 ITX,,B이하,B+,B이하,B이하,2017
효성,004800,B이하,D,A,B+,2017
한화생명,088350,B+,B+,A,B이하,2017
한화갤러리아타임월드,,B이하,B,B이하,B+,2017
한화,000880,A,A,A+,A,2017
한창제지,009460,B이하,C,B이하,B이하,2017
한창,005110,B이하,C,B이하,B이하,2017
한진칼,180640,B이하,C,B이하,B이하,2017
한진중공업홀딩스,003480,B이하,B+,B이하,B이하,2017
한진중공업,,B이하,C,B이하,B+,2017
한진,002320,B이하,B,B이하,B이하,2017
한전산업,130660,B이하,B,B+,B이하,2017
한전기술,052690,B+,B,B+,A,2017
한전KPS,051600,B+,B,B+,B+,2017
한일철강,002220,B이하,C,B이하,B이하,2017
한일시멘트,300720,B이하,B,B이하,B+,2017
KISCO홀딩스,001940,B이하,B,B이하,B이하,2017
KG케미칼,001390,B이하,D,B이하,B이하,2017
KGP,,B이하,D,B이하,B이하,2017
KEC,092220,B이하,B,B이하,B+,2017
KC코트렐,119650,B이하,B,B이하,B이하,2017
KC그린홀딩스,009440,B이하,B,B이하,B이하,2017
KB금융,105560,A,A,A,A,2017
JW홀딩스,096760,B이하,B+,B이하,B이하,2017
JW중외제약,001060,B이하,B,B+,B이하,2017
JW생명과학,234080,B이하,B,B이하,B+,2017
JB금융지주,175330,B이하,A,B이하,B이하,2017
GS리테일,007070,B+,B+,B+,B이하,2017
GS글로벌,001250,B이하,B+,B이하,B이하,2017
GS건설,006360,A,B+,A,A,2017
GS,078930,B이하,B+,B이하,B이하,2017
GKL,114090,B이하,B+,B이하,B이하,2017
F&F,383220,B이하,B,B이하,B이하,2017
E1,017940,B이하,B+,B+,B이하,2017
DSR제강,069730,B이하,B,B이하,B이하,2017
DSR,155660,B이하,C,B이하,B이하,2017
DRB동일,004840,B이하,B,B이하,B이하,2017
DGB금융지주,139130,A,A,A,A,2017
DB하이텍,000990,B이하,C,B+,B+,2017
DB손해보험,005830,A,A,A,B+,2017
DB,012030,B이하,B,B이하,B이하,2017
CS홀딩스,000590,B이하,B,B이하,B이하,2017
CJ헬로,,B이하,B+,B+,B이하,2017
율촌화학,008730,B이하,B,B이하,B이하,2017
CJ제일제당,097950,A,B+,A,A,2017
CJ대한통운,000120,B+,B+,B+,A,2017
태양금속공업,,B이하,B,B이하,B+,2017
CJ,001040,A,A,A,B이하,2017
성창기업지주,000180,B이하,C,B이하,B이하,2017
BYC,001460,B이하,B,B이하,B이하,2017
동양철관,008970,B이하,C,B이하,B이하,2017
BNK금융지주,138930,B+,B,A,B+,2017
BGF,027410,B이하,B,A,B이하,2017
AK홀딩스,006840,B이하,B,B이하,B이하,2017
AJ렌터카,,B이하,C,B이하,B이하,2017
AJ네트웍스,095570,B이하,B,B이하,B이하,2017
신한지주,055550,A+,S,A,A+,2017
신한,,B이하,C,B이하,B이하,2017
신풍제지,002870,B이하,B,B이하,B+,2017
신풍제약,019170,B이하,B,B이하,B이하,2017
신일산업,,B이하,C,B이하,B이하,2017
신원,009270,B이하,B,B이하,B이하,2017
신영증권,001720,B+,A,B이하,B이하,2017
신영와코루,005800,B이하,C,B이하,B이하,2017
신송홀딩스,006880,B이하,B,B이하,B이하,2017
신세계푸드,031440,B+,B,A,B+,2017
